time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449750000	16.9347	19.1116	4.73613	2.47051	0.506963	radar	3.04699	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7195	19.2248	4.73224	2.51072	0.522023	lidar	2.70133	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5311	19.3767	4.74137	2.53395	0.521771	radar	3.18331	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3151	19.5291	4.77203	2.55959	0.51991	lidar	0.78556	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0906	19.6145	4.762	2.60916	0.55381	radar	10.0695	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8889	19.7552	4.77429	2.62951	0.545895	lidar	0.768773	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6976	19.8815	4.76044	2.63574	0.504679	radar	3.25409	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4754	20.0273	4.79406	2.6541	0.496225	lidar	1.41904	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2687	20.1657	4.80589	2.66555	0.476786	radar	5.77675	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0772	20.2992	4.80207	2.67719	0.464762	lidar	1.84013	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8482	20.3816	4.80163	2.71364	0.483955	radar	2.10062	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6331	20.5003	4.81086	2.73044	0.476192	lidar	0.684171	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.4004	20.5854	4.81999	2.76577	0.497992	radar	1.32206	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1551	20.6596	4.8324	2.79762	0.504445	lidar	0.798991	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.921	20.7295	4.83675	2.8325	0.523136	radar	0.409601	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6526	20.7911	4.86787	2.86715	0.530358	lidar	2.02649	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.407	20.8211	4.8707	2.91935	0.576726	radar	2.48711	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.159	20.8652	4.87757	2.95149	0.579732	lidar	0.208404	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9282	20.9225	4.87459	2.974	0.572719	radar	1.71436	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7175	20.9733	4.84999	2.99476	0.565992	lidar	1.66007	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4693	21.0114	4.86228	3.02385	0.569383	radar	2.66767	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2222	21.0501	4.8728	3.04811	0.564602	lidar	0.21072	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9839	21.0694	4.8713	3.07959	0.57354	radar	0.948578	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7359	21.044	4.86481	3.12169	0.587471	lidar	1.86042	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4892	21.0302	4.86529	-3.12555	0.595602	radar	1.09587	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2653	21.0278	4.84634	-3.09844	0.59385	lidar	0.591655	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0125	20.9886	4.85338	-3.05832	0.605504	radar	4.18806	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7932	20.9543	4.82778	-3.02468	0.610302	lidar	0.559427	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5453	20.9531	4.8276	-3.01806	0.566273	radar	5.5611	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2759	20.9764	4.86768	-3.0108	0.542377	lidar	3.44059	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.037	20.9578	4.86573	-2.99137	0.532166	radar	1.01433	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.8306	20.9223	4.82978	-2.96555	0.533098	lidar	1.62409	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
